,MP,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,PF,+/-,PTS,Unnamed: 5,Opp
0,28.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,-16.0,4.0,0,27
1,19.0,2.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,-21.0,6.0,0,10
2,33.0,8.0,13.0,1.0,2.0,2.0,3.0,8.0,4.0,0.0,2.0,2.0,-6.0,19.0,1,21
3,27.0,3.0,10.0,1.0,3.0,0.0,0.0,9.0,1.0,1.0,2.0,2.0,0.0,7.0,1,9
4,32.0,7.0,13.0,2.0,5.0,2.0,3.0,2.0,1.0,0.0,4.0,2.0,-3.0,18.0,1,13
5,27.0,5.0,11.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,-14.0,10.0,0,9
6,34.0,6.0,15.0,1.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,4.0,-9.0,15.0,0,12
7,31.0,2.0,9.0,0.0,2.0,1.0,2.0,8.0,3.0,1.0,4.0,2.0,8.0,5.0,0,13
8,27.0,3.0,10.0,1.0,6.0,0.0,0.0,7.0,0.0,0.0,4.0,1.0,-14.0,7.0,1,25
9,30.0,3.0,10.0,1.0,3.0,0.0,0.0,12.0,1.0,0.0,5.0,3.0,3.0,7.0,0,18
10,24.0,3.0,8.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,7.0,1,24
11,24.0,2.0,10.0,2.0,7.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,-16.0,6.0,1,2
12,31.0,3.0,10.0,0.0,5.0,0.0,0.0,9.0,1.0,2.0,4.0,1.0,-4.0,6.0,1,15
13,33.0,7.0,14.0,0.0,2.0,0.0,0.0,11.0,0.0,1.0,3.0,3.0,1.0,14.0,1,10
14,31.0,6.0,12.0,0.0,3.0,2.0,4.0,12.0,0.0,0.0,2.0,0.0,-16.0,14.0,0,16
15,28.0,5.0,13.0,4.0,6.0,1.0,2.0,8.0,1.0,0.0,2.0,1.0,-27.0,15.0,0,1
16,31.0,6.0,13.0,0.0,5.0,3.0,3.0,7.0,1.0,2.0,3.0,1.0,-13.0,15.0,0,0
17,33.0,8.0,15.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,6.0,3.0,0.0,19.0,1,27
18,28.0,4.0,12.0,0.0,2.0,3.0,4.0,7.0,1.0,0.0,1.0,1.0,2.0,11.0,1,28
